step,method,task,accuracy
1,sgd,0,0.955700
2,sgd,0,0.966100
3,sgd,0,0.966000
4,sgd,0,0.972900
5,sgd,0,0.974700
6,sgd,0,0.968400
7,sgd,0,0.973500
8,sgd,0,0.976900
9,sgd,0,0.975600
10,sgd,0,0.977700
11,sgd,0,0.976800
12,sgd,0,0.975500
13,sgd,0,0.978800
14,sgd,0,0.977800
15,sgd,0,0.980400
16,sgd,0,0.980600
17,sgd,0,0.978500
18,sgd,0,0.980200
19,sgd,0,0.978700
20,sgd,0,0.978500
21,sgd,0,0.981200
22,sgd,0,0.975500
23,sgd,0,0.980500
24,sgd,0,0.978500
25,sgd,0,0.980600
26,sgd,0,0.980200
27,sgd,0,0.978600
28,sgd,0,0.979600
29,sgd,0,0.978700
30,sgd,0,0.980800
31,sgd,0,0.713600
32,sgd,0,0.683200
33,sgd,0,0.630200
34,sgd,0,0.599500
35,sgd,0,0.607300
36,sgd,0,0.572300
37,sgd,0,0.573000
38,sgd,0,0.591200
39,sgd,0,0.565900
40,sgd,0,0.582800
41,sgd,0,0.534000
42,sgd,0,0.553000
43,sgd,0,0.523100
44,sgd,0,0.558100
45,sgd,0,0.524600
46,sgd,0,0.534300
47,sgd,0,0.527300
48,sgd,0,0.499500
49,sgd,0,0.494000
50,sgd,0,0.522300
51,sgd,0,0.517800
52,sgd,0,0.497500
53,sgd,0,0.507700
54,sgd,0,0.484800
55,sgd,0,0.510900
56,sgd,0,0.510000
57,sgd,0,0.530000
58,sgd,0,0.541900
59,sgd,0,0.500500
60,sgd,0,0.499800
61,sgd,0,0.285200
62,sgd,0,0.266900
63,sgd,0,0.238900
64,sgd,0,0.232600
65,sgd,0,0.211300
66,sgd,0,0.204100
67,sgd,0,0.207400
68,sgd,0,0.203100
69,sgd,0,0.203500
70,sgd,0,0.215400
71,sgd,0,0.211600
72,sgd,0,0.200700
73,sgd,0,0.193800
74,sgd,0,0.204000
75,sgd,0,0.194000
76,sgd,0,0.186700
77,sgd,0,0.189700
78,sgd,0,0.175200
79,sgd,0,0.184400
80,sgd,0,0.178800
81,sgd,0,0.183600
82,sgd,0,0.207000
83,sgd,0,0.156500
84,sgd,0,0.164500
85,sgd,0,0.182300
86,sgd,0,0.162900
87,sgd,0,0.183200
88,sgd,0,0.184800
89,sgd,0,0.182400
90,sgd,0,0.167900
1,sgd,1,0.453100
2,sgd,1,0.434500
3,sgd,1,0.439000
4,sgd,1,0.449700
5,sgd,1,0.516100
6,sgd,1,0.468600
7,sgd,1,0.463600
8,sgd,1,0.490600
9,sgd,1,0.477700
10,sgd,1,0.522400
11,sgd,1,0.502000
12,sgd,1,0.492800
13,sgd,1,0.512400
14,sgd,1,0.494400
15,sgd,1,0.479900
16,sgd,1,0.549200
17,sgd,1,0.550000
18,sgd,1,0.551000
19,sgd,1,0.500000
20,sgd,1,0.501000
21,sgd,1,0.549900
22,sgd,1,0.506100
23,sgd,1,0.510200
24,sgd,1,0.511900
25,sgd,1,0.537000
26,sgd,1,0.517100
27,sgd,1,0.522700
28,sgd,1,0.530800
29,sgd,1,0.523400
30,sgd,1,0.513900
31,sgd,1,0.940200
32,sgd,1,0.957200
33,sgd,1,0.963600
34,sgd,1,0.968100
35,sgd,1,0.968600
36,sgd,1,0.972100
37,sgd,1,0.971700
38,sgd,1,0.975500
39,sgd,1,0.976000
40,sgd,1,0.975200
41,sgd,1,0.975900
42,sgd,1,0.976500
43,sgd,1,0.977900
44,sgd,1,0.975600
45,sgd,1,0.977300
46,sgd,1,0.976300
47,sgd,1,0.977500
48,sgd,1,0.978300
49,sgd,1,0.977700
50,sgd,1,0.978500
51,sgd,1,0.979000
52,sgd,1,0.978700
53,sgd,1,0.978700
54,sgd,1,0.979000
55,sgd,1,0.980100
56,sgd,1,0.977600
57,sgd,1,0.980700
58,sgd,1,0.982600
59,sgd,1,0.981000
60,sgd,1,0.981100
61,sgd,1,0.852700
62,sgd,1,0.767200
63,sgd,1,0.727300
64,sgd,1,0.695800
65,sgd,1,0.685900
66,sgd,1,0.701000
67,sgd,1,0.672700
68,sgd,1,0.653100
69,sgd,1,0.615700
70,sgd,1,0.675100
71,sgd,1,0.609100
72,sgd,1,0.604200
73,sgd,1,0.606100
74,sgd,1,0.638800
75,sgd,1,0.647200
76,sgd,1,0.619600
77,sgd,1,0.588800
78,sgd,1,0.575800
79,sgd,1,0.602500
80,sgd,1,0.580100
81,sgd,1,0.584200
82,sgd,1,0.561500
83,sgd,1,0.576100
84,sgd,1,0.586300
85,sgd,1,0.587300
86,sgd,1,0.561700
87,sgd,1,0.563500
88,sgd,1,0.565700
89,sgd,1,0.584100
90,sgd,1,0.554500
1,sgd,2,0.148400
2,sgd,2,0.129400
3,sgd,2,0.117400
4,sgd,2,0.095100
5,sgd,2,0.122900
6,sgd,2,0.124500
7,sgd,2,0.103400
8,sgd,2,0.137400
9,sgd,2,0.154000
10,sgd,2,0.143000
11,sgd,2,0.134000
12,sgd,2,0.128100
13,sgd,2,0.114900
14,sgd,2,0.127400
15,sgd,2,0.122400
16,sgd,2,0.134100
17,sgd,2,0.133400
18,sgd,2,0.127100
19,sgd,2,0.133500
20,sgd,2,0.111000
21,sgd,2,0.128700
22,sgd,2,0.112800
23,sgd,2,0.123400
24,sgd,2,0.133600
25,sgd,2,0.107600
26,sgd,2,0.111900
27,sgd,2,0.137300
28,sgd,2,0.145700
29,sgd,2,0.128600
30,sgd,2,0.141900
31,sgd,2,0.361900
32,sgd,2,0.453300
33,sgd,2,0.452000
34,sgd,2,0.479500
35,sgd,2,0.488900
36,sgd,2,0.497000
37,sgd,2,0.482900
38,sgd,2,0.483800
39,sgd,2,0.467200
40,sgd,2,0.486300
41,sgd,2,0.477400
42,sgd,2,0.468300
43,sgd,2,0.486600
44,sgd,2,0.482200
45,sgd,2,0.497900
46,sgd,2,0.546500
47,sgd,2,0.536200
48,sgd,2,0.526000
49,sgd,2,0.505800
50,sgd,2,0.485200
51,sgd,2,0.516000
52,sgd,2,0.481100
53,sgd,2,0.500800
54,sgd,2,0.506900
55,sgd,2,0.498600
56,sgd,2,0.503800
57,sgd,2,0.483700
58,sgd,2,0.524700
59,sgd,2,0.531800
60,sgd,2,0.477500
61,sgd,2,0.937100
62,sgd,2,0.955900
63,sgd,2,0.962800
64,sgd,2,0.965000
65,sgd,2,0.967400
66,sgd,2,0.973000
67,sgd,2,0.974300
68,sgd,2,0.975600
69,sgd,2,0.974700
70,sgd,2,0.975800
71,sgd,2,0.977100
72,sgd,2,0.977700
73,sgd,2,0.979800
74,sgd,2,0.978100
75,sgd,2,0.980300
76,sgd,2,0.979700
77,sgd,2,0.980600
78,sgd,2,0.981100
79,sgd,2,0.980800
80,sgd,2,0.978900
81,sgd,2,0.979500
82,sgd,2,0.978800
83,sgd,2,0.980200
84,sgd,2,0.981000
85,sgd,2,0.978700
86,sgd,2,0.979600
87,sgd,2,0.980600
88,sgd,2,0.978500
89,sgd,2,0.982300
90,sgd,2,0.981200
1,l2,0,0.955700
2,l2,0,0.966100
3,l2,0,0.966000
4,l2,0,0.972900
5,l2,0,0.974700
6,l2,0,0.968400
7,l2,0,0.973500
8,l2,0,0.976900
9,l2,0,0.975600
10,l2,0,0.977700
11,l2,0,0.976800
12,l2,0,0.975500
13,l2,0,0.978800
14,l2,0,0.977800
15,l2,0,0.980400
16,l2,0,0.980600
17,l2,0,0.978500
18,l2,0,0.980200
19,l2,0,0.978700
20,l2,0,0.978500
21,l2,0,0.981200
22,l2,0,0.975500
23,l2,0,0.980500
24,l2,0,0.978500
25,l2,0,0.980600
26,l2,0,0.980200
27,l2,0,0.978600
28,l2,0,0.979600
29,l2,0,0.978700
30,l2,0,0.980800
31,l2,0,0.791700
32,l2,0,0.727100
33,l2,0,0.684500
34,l2,0,0.712200
35,l2,0,0.766200
36,l2,0,0.700400
37,l2,0,0.680600
38,l2,0,0.670100
39,l2,0,0.677200
40,l2,0,0.700100
41,l2,0,0.714900
42,l2,0,0.716200
43,l2,0,0.730100
44,l2,0,0.719900
45,l2,0,0.708500
46,l2,0,0.754200
47,l2,0,0.718900
48,l2,0,0.673600
49,l2,0,0.685700
50,l2,0,0.747900
51,l2,0,0.727700
52,l2,0,0.672900
53,l2,0,0.723400
54,l2,0,0.684400
55,l2,0,0.743900
56,l2,0,0.704500
57,l2,0,0.688200
58,l2,0,0.694000
59,l2,0,0.717700
60,l2,0,0.718800
61,l2,0,0.408900
62,l2,0,0.410200
63,l2,0,0.363900
64,l2,0,0.372700
65,l2,0,0.393300
66,l2,0,0.415200
67,l2,0,0.407600
68,l2,0,0.412800
69,l2,0,0.370000
70,l2,0,0.389900
71,l2,0,0.395800
72,l2,0,0.410100
73,l2,0,0.405900
74,l2,0,0.423700
75,l2,0,0.390900
76,l2,0,0.421700
77,l2,0,0.434600
78,l2,0,0.383200
79,l2,0,0.393100
80,l2,0,0.401900
81,l2,0,0.399500
82,l2,0,0.406500
83,l2,0,0.387300
84,l2,0,0.406900
85,l2,0,0.380700
86,l2,0,0.373000
87,l2,0,0.379500
88,l2,0,0.418800
89,l2,0,0.422500
90,l2,0,0.402500
1,l2,1,0.453100
2,l2,1,0.434500
3,l2,1,0.439000
4,l2,1,0.449700
5,l2,1,0.516100
6,l2,1,0.468600
7,l2,1,0.463600
8,l2,1,0.490600
9,l2,1,0.477700
10,l2,1,0.522400
11,l2,1,0.502000
12,l2,1,0.492800
13,l2,1,0.512400
14,l2,1,0.494400
15,l2,1,0.479900
16,l2,1,0.549200
17,l2,1,0.550000
18,l2,1,0.551000
19,l2,1,0.500000
20,l2,1,0.501000
21,l2,1,0.549900
22,l2,1,0.506100
23,l2,1,0.510200
24,l2,1,0.511900
25,l2,1,0.537000
26,l2,1,0.517100
27,l2,1,0.522700
28,l2,1,0.530800
29,l2,1,0.523400
30,l2,1,0.513900
31,l2,1,0.883800
32,l2,1,0.892800
33,l2,1,0.894600
34,l2,1,0.898500
35,l2,1,0.898800
36,l2,1,0.895200
37,l2,1,0.893500
38,l2,1,0.895400
39,l2,1,0.888600
40,l2,1,0.892400
41,l2,1,0.898500
42,l2,1,0.892900
43,l2,1,0.899100
44,l2,1,0.893500
45,l2,1,0.887000
46,l2,1,0.898200
47,l2,1,0.891100
48,l2,1,0.893500
49,l2,1,0.893200
50,l2,1,0.903800
51,l2,1,0.898300
52,l2,1,0.902200
53,l2,1,0.899800
54,l2,1,0.892200
55,l2,1,0.899900
56,l2,1,0.896700
57,l2,1,0.893600
58,l2,1,0.891100
59,l2,1,0.898600
60,l2,1,0.892200
61,l2,1,0.542400
62,l2,1,0.512000
63,l2,1,0.506300
64,l2,1,0.536800
65,l2,1,0.545900
66,l2,1,0.531100
67,l2,1,0.536900
68,l2,1,0.525300
69,l2,1,0.518500
70,l2,1,0.514700
71,l2,1,0.532700
72,l2,1,0.511700
73,l2,1,0.519600
74,l2,1,0.514500
75,l2,1,0.524800
76,l2,1,0.569400
77,l2,1,0.539900
78,l2,1,0.517700
79,l2,1,0.566000
80,l2,1,0.512600
81,l2,1,0.530300
82,l2,1,0.531600
83,l2,1,0.527500
84,l2,1,0.487200
85,l2,1,0.505700
86,l2,1,0.507300
87,l2,1,0.508000
88,l2,1,0.531900
89,l2,1,0.537800
90,l2,1,0.504700
1,l2,2,0.148400
2,l2,2,0.129400
3,l2,2,0.117400
4,l2,2,0.095100
5,l2,2,0.122900
6,l2,2,0.124500
7,l2,2,0.103400
8,l2,2,0.137400
9,l2,2,0.154000
10,l2,2,0.143000
11,l2,2,0.134000
12,l2,2,0.128100
13,l2,2,0.114900
14,l2,2,0.127400
15,l2,2,0.122400
16,l2,2,0.134100
17,l2,2,0.133400
18,l2,2,0.127100
19,l2,2,0.133500
20,l2,2,0.111000
21,l2,2,0.128700
22,l2,2,0.112800
23,l2,2,0.123400
24,l2,2,0.133600
25,l2,2,0.107600
26,l2,2,0.111900
27,l2,2,0.137300
28,l2,2,0.145700
29,l2,2,0.128600
30,l2,2,0.141900
31,l2,2,0.343100
32,l2,2,0.323000
33,l2,2,0.334600
34,l2,2,0.351700
35,l2,2,0.361100
36,l2,2,0.370400
37,l2,2,0.368600
38,l2,2,0.355900
39,l2,2,0.343600
40,l2,2,0.339600
41,l2,2,0.344200
42,l2,2,0.327600
43,l2,2,0.349300
44,l2,2,0.369200
45,l2,2,0.330300
46,l2,2,0.357000
47,l2,2,0.376700
48,l2,2,0.387200
49,l2,2,0.335500
50,l2,2,0.346600
51,l2,2,0.326700
52,l2,2,0.367900
53,l2,2,0.322400
54,l2,2,0.302000
55,l2,2,0.366700
56,l2,2,0.366200
57,l2,2,0.348800
58,l2,2,0.347400
59,l2,2,0.332800
60,l2,2,0.350100
61,l2,2,0.858900
62,l2,2,0.858200
63,l2,2,0.861500
64,l2,2,0.866700
65,l2,2,0.860000
66,l2,2,0.847400
67,l2,2,0.865500
68,l2,2,0.857700
69,l2,2,0.862000
70,l2,2,0.859500
71,l2,2,0.857100
72,l2,2,0.853700
73,l2,2,0.862700
74,l2,2,0.856400
75,l2,2,0.858800
76,l2,2,0.859300
77,l2,2,0.858900
78,l2,2,0.863600
79,l2,2,0.857000
80,l2,2,0.852500
81,l2,2,0.855800
82,l2,2,0.866400
83,l2,2,0.859700
84,l2,2,0.844600
85,l2,2,0.855900
86,l2,2,0.854100
87,l2,2,0.852200
88,l2,2,0.853500
89,l2,2,0.873200
90,l2,2,0.860800
1,ewc,0,0.955700
2,ewc,0,0.966100
3,ewc,0,0.966000
4,ewc,0,0.972900
5,ewc,0,0.974700
6,ewc,0,0.968400
7,ewc,0,0.973500
8,ewc,0,0.976900
9,ewc,0,0.975600
10,ewc,0,0.977700
11,ewc,0,0.976800
12,ewc,0,0.975500
13,ewc,0,0.978800
14,ewc,0,0.977800
15,ewc,0,0.980400
16,ewc,0,0.980600
17,ewc,0,0.978500
18,ewc,0,0.980200
19,ewc,0,0.978700
20,ewc,0,0.978500
21,ewc,0,0.981200
22,ewc,0,0.975500
23,ewc,0,0.980500
24,ewc,0,0.978500
25,ewc,0,0.980600
26,ewc,0,0.980200
27,ewc,0,0.978600
28,ewc,0,0.979600
29,ewc,0,0.978700
30,ewc,0,0.980800
31,ewc,0,0.771300
32,ewc,0,0.728400
33,ewc,0,0.720300
34,ewc,0,0.707600
35,ewc,0,0.637600
36,ewc,0,0.622700
37,ewc,0,0.640400
38,ewc,0,0.652700
39,ewc,0,0.625300
40,ewc,0,0.690600
41,ewc,0,0.661300
42,ewc,0,0.639700
43,ewc,0,0.638300
44,ewc,0,0.626600
45,ewc,0,0.647300
46,ewc,0,0.625100
47,ewc,0,0.595700
48,ewc,0,0.589300
49,ewc,0,0.641100
50,ewc,0,0.651000
51,ewc,0,0.636500
52,ewc,0,0.585300
53,ewc,0,0.609000
54,ewc,0,0.606100
55,ewc,0,0.599500
56,ewc,0,0.601600
57,ewc,0,0.600000
58,ewc,0,0.630300
59,ewc,0,0.598100
60,ewc,0,0.620500
61,ewc,0,0.499400
62,ewc,0,0.368100
63,ewc,0,0.328800
64,ewc,0,0.274500
65,ewc,0,0.282700
66,ewc,0,0.244000
67,ewc,0,0.260300
68,ewc,0,0.254300
69,ewc,0,0.256900
70,ewc,0,0.296300
71,ewc,0,0.266500
72,ewc,0,0.259100
73,ewc,0,0.247600
74,ewc,0,0.265400
75,ewc,0,0.244200
76,ewc,0,0.267600
77,ewc,0,0.245600
78,ewc,0,0.245600
79,ewc,0,0.225100
80,ewc,0,0.229700
81,ewc,0,0.251600
82,ewc,0,0.254000
83,ewc,0,0.241200
84,ewc,0,0.275600
85,ewc,0,0.271000
86,ewc,0,0.282600
87,ewc,0,0.253700
88,ewc,0,0.248100
89,ewc,0,0.238900
90,ewc,0,0.251800
1,ewc,1,0.453100
2,ewc,1,0.434500
3,ewc,1,0.439000
4,ewc,1,0.449700
5,ewc,1,0.516100
6,ewc,1,0.468600
7,ewc,1,0.463600
8,ewc,1,0.490600
9,ewc,1,0.477700
10,ewc,1,0.522400
11,ewc,1,0.502000
12,ewc,1,0.492800
13,ewc,1,0.512400
14,ewc,1,0.494400
15,ewc,1,0.479900
16,ewc,1,0.549200
17,ewc,1,0.550000
18,ewc,1,0.551000
19,ewc,1,0.500000
20,ewc,1,0.501000
21,ewc,1,0.549900
22,ewc,1,0.506100
23,ewc,1,0.510200
24,ewc,1,0.511900
25,ewc,1,0.537000
26,ewc,1,0.517100
27,ewc,1,0.522700
28,ewc,1,0.530800
29,ewc,1,0.523400
30,ewc,1,0.513900
31,ewc,1,0.929900
32,ewc,1,0.951500
33,ewc,1,0.956700
34,ewc,1,0.960700
35,ewc,1,0.966800
36,ewc,1,0.966500
37,ewc,1,0.970400
38,ewc,1,0.970400
39,ewc,1,0.972000
40,ewc,1,0.973200
41,ewc,1,0.973200
42,ewc,1,0.976100
43,ewc,1,0.975400
44,ewc,1,0.976400
45,ewc,1,0.978300
46,ewc,1,0.977100
47,ewc,1,0.977300
48,ewc,1,0.976700
49,ewc,1,0.978600
50,ewc,1,0.980600
51,ewc,1,0.979500
52,ewc,1,0.976600
53,ewc,1,0.980500
54,ewc,1,0.979300
55,ewc,1,0.980000
56,ewc,1,0.978500
57,ewc,1,0.978600
58,ewc,1,0.979500
59,ewc,1,0.979800
60,ewc,1,0.979700
61,ewc,1,0.846200
62,ewc,1,0.767500
63,ewc,1,0.727000
64,ewc,1,0.683800
65,ewc,1,0.670900
66,ewc,1,0.655800
67,ewc,1,0.687000
68,ewc,1,0.705000
69,ewc,1,0.656200
70,ewc,1,0.652200
71,ewc,1,0.683800
72,ewc,1,0.668900
73,ewc,1,0.617800
74,ewc,1,0.660400
75,ewc,1,0.631400
76,ewc,1,0.652500
77,ewc,1,0.637900
78,ewc,1,0.668700
79,ewc,1,0.635300
80,ewc,1,0.640200
81,ewc,1,0.652200
82,ewc,1,0.626400
83,ewc,1,0.664400
84,ewc,1,0.634400
85,ewc,1,0.668800
86,ewc,1,0.681000
87,ewc,1,0.677900
88,ewc,1,0.618800
89,ewc,1,0.620700
90,ewc,1,0.643300
1,ewc,2,0.148400
2,ewc,2,0.129400
3,ewc,2,0.117400
4,ewc,2,0.095100
5,ewc,2,0.122900
6,ewc,2,0.124500
7,ewc,2,0.103400
8,ewc,2,0.137400
9,ewc,2,0.154000
10,ewc,2,0.143000
11,ewc,2,0.134000
12,ewc,2,0.128100
13,ewc,2,0.114900
14,ewc,2,0.127400
15,ewc,2,0.122400
16,ewc,2,0.134100
17,ewc,2,0.133400
18,ewc,2,0.127100
19,ewc,2,0.133500
20,ewc,2,0.111000
21,ewc,2,0.128700
22,ewc,2,0.112800
23,ewc,2,0.123400
24,ewc,2,0.133600
25,ewc,2,0.107600
26,ewc,2,0.111900
27,ewc,2,0.137300
28,ewc,2,0.145700
29,ewc,2,0.128600
30,ewc,2,0.141900
31,ewc,2,0.380200
32,ewc,2,0.446200
33,ewc,2,0.453400
34,ewc,2,0.462000
